model,chunk_tag,test_acc,test_f1
LightGBM,0.5s,0.643646408839779,0.589251126993179
1D-CNN,0.5s,0.7997237569060773,0.7682154289952989
TCN,0.5s,0.7928176795580111,0.7624705192638639
LightGBM,1.0s,0.7635605006954103,0.7259407798628789
1D-CNN,1.0s,0.8776077885952712,0.8569405504555728
TCN,1.0s,0.8553546592489569,0.8189963620936971
LightGBM,2.0s,0.7871396895787139,0.6824941759205381
1D-CNN,2.0s,0.8913525498891353,0.8059470219635367
TCN,2.0s,0.9090909090909092,0.8318655061565344
LightGBM,full,0.8744827586206897,0.8214395127085637
1D-CNN,full,0.9186206896551724,0.88966048012428
TCN,full,0.9420689655172414,0.9066938092967476
